FECHA,Symbol,rv5_ss,bv,rv10,bv_ss,rv5,rk_parzen,rk_th2,open_time,close_time,open_to_close,rsv_ss,rk_twoscale,rsv,close_price,rv10_ss,medrv,open_price,nobs,Retornos
2010-02-18,.N225,2.28E-05,1.74E-05,2.20E-05,1.74E-05,0.00228%,2.54E-05,2.59E-05,90015,150002,0.001036753,1.11E-05,2.55E-05,1.11E-05,10335.69,2.20E-05,6.25E-06,10324.98,2156,0.002796172
2010-02-19,.N225,8.23E-05,5.40E-05,8.67E-05,5.40E-05,0.00823%,0.000146533,7.51E-05,90015,150002,-0.02061078,6.97E-05,7.39E-05,6.97E-05,10123.58,8.67E-05,2.03E-05,10334.4,2157,-0.020735598
2010-02-22,.N225,8.20E-05,4.28E-05,9.48E-05,4.28E-05,0.00820%,0.00011202,7.72E-05,90015,150002,0.009506152,2.96E-05,7.59E-05,2.96E-05,10400.47,9.48E-05,1.69E-05,10302.07,2157,0.026983641
2010-02-23,.N225,5.10E-05,4.90E-05,3.92E-05,4.90E-05,0.00510%,2.85E-05,4.92E-05,90015,150002,0.002365601,2.15E-05,4.83E-05,2.15E-05,10352.1,3.92E-05,2.19E-05,10327.64,2156,-0.0046616
2010-02-24,.N225,9.11E-05,6.03E-05,8.82E-05,6.03E-05,0.00911%,7.09E-05,9.75E-05,90015,150002,-0.000619487,3.90E-05,9.65E-05,3.90E-05,10198.83,8.82E-05,1.81E-05,10205.15,2156,-0.01491639
2010-02-25,.N225,6.32E-05,5.66E-05,7.02E-05,5.66E-05,0.00632%,9.50E-05,8.59E-05,90015,150002,-0.015143186,4.69E-05,8.39E-05,4.69E-05,10101.96,7.02E-05,1.84E-05,10256.1,2156,-0.009543543
2010-02-26,.N225,4.63E-05,3.55E-05,4.67E-05,3.55E-05,0.00463%,3.22E-05,4.88E-05,90015,150001,0.001873168,2.32E-05,4.80E-05,2.32E-05,10126.03,4.67E-05,1.01E-05,10107.08,2157,0.002379872
2010-03-01,.N225,3.96E-05,3.79E-05,3.56E-05,3.79E-05,0.00396%,3.03E-05,3.52E-05,90015,150001,0.004268806,1.56E-05,3.46E-05,1.56E-05,10172.06,3.56E-05,1.32E-05,10128.73,2156,0.00453541
2010-03-02,.N225,3.48E-05,3.20E-05,3.24E-05,3.20E-05,0.00348%,4.07E-05,3.61E-05,90015,150002,0.002218302,1.91E-05,3.55E-05,1.91E-05,10221.84,3.24E-05,1.92E-05,10199.19,2158,0.004881862
2010-03-03,.N225,4.95E-05,4.91E-05,4.20E-05,4.91E-05,0.00495%,4.08E-05,4.12E-05,90015,150001,0.005789593,2.34E-05,3.97E-05,2.34E-05,10253.14,4.20E-05,1.11E-05,10193.95,2156,0.003057392
2010-03-04,.N225,4.06E-05,3.06E-05,3.19E-05,3.06E-05,0.00406%,4.06E-05,4.02E-05,90015,150002,-0.010780732,3.06E-05,3.98E-05,3.06E-05,10145.72,3.19E-05,1.12E-05,10255.69,2156,-0.010532058
2010-03-05,.N225,5.21E-05,4.89E-05,7.82E-05,4.89E-05,0.00521%,8.36E-05,4.36E-05,90015,150002,0.011089367,1.12E-05,4.23E-05,1.12E-05,10368.96,7.82E-05,5.88E-06,10254.61,2157,0.021764786
2010-03-08,.N225,2.93E-05,2.16E-05,2.14E-05,2.16E-05,0.00293%,1.40E-05,3.40E-05,90015,150002,0.004525657,1.62E-05,3.34E-05,1.62E-05,10585.92,2.14E-05,5.13E-06,10538.12,2156,0.020708088
2010-03-09,.N225,2.44E-05,1.88E-05,1.39E-05,1.88E-05,0.00244%,1.20E-05,2.18E-05,90015,150001,3.12E-05,1.43E-05,2.13E-05,1.43E-05,10567.65,1.39E-05,5.45E-06,10567.32,2157,-0.001727368
2010-03-10,.N225,2.62E-05,2.21E-05,1.64E-05,2.21E-05,0.00262%,1.30E-05,1.64E-05,90015,150001,0.000764213,1.22E-05,1.62E-05,1.22E-05,10563.92,1.64E-05,6.14E-06,10555.85,2156,-0.000353026
2010-03-11,.N225,2.80E-05,1.93E-05,2.98E-05,1.93E-05,0.00280%,4.91E-05,2.96E-05,90015,150001,0.003471577,1.62E-05,2.91E-05,1.62E-05,10664.95,2.98E-05,4.05E-06,10627.99,2156,0.009518242
2010-03-12,.N225,2.71E-05,2.36E-05,3.14E-05,2.36E-05,0.00271%,1.79E-05,1.95E-05,90015,150002,-0.002436743,1.68E-05,1.99E-05,1.68E-05,10751.26,3.14E-05,7.98E-06,10777.49,2156,0.008060293
2010-03-15,.N225,3.24E-05,2.73E-05,2.96E-05,2.73E-05,0.00324%,2.33E-05,2.38E-05,90015,150001,-0.004651562,1.92E-05,2.33E-05,1.92E-05,10751.98,2.96E-05,8.32E-06,10802.11,2156,6.69667E-05
2010-03-16,.N225,3.42E-05,2.25E-05,2.16E-05,2.25E-05,0.00342%,2.08E-05,2.35E-05,90015,150002,0.000287309,1.69E-05,2.30E-05,1.69E-05,10721.71,2.16E-05,4.64E-06,10718.63,2156,-0.002819266
2010-03-17,.N225,3.35E-05,3.73E-05,3.98E-05,3.73E-05,0.00335%,4.09E-05,3.23E-05,90015,150002,0.005337359,1.53E-05,3.16E-05,1.53E-05,10846.98,3.98E-05,6.67E-06,10789.24,2156,0.011616042
2010-03-18,.N225,2.51E-05,2.55E-05,2.56E-05,2.55E-05,0.00251%,3.70E-05,2.82E-05,90015,150002,-0.009050481,1.79E-05,2.72E-05,1.79E-05,10744.03,2.56E-05,6.04E-06,10841.71,2157,-0.009536449
2010-03-19,.N225,1.50E-05,1.18E-05,1.32E-05,1.18E-05,0.00150%,1.00E-05,2.11E-05,90015,150002,0.003594536,5.84E-06,2.07E-05,5.84E-06,10824.72,1.32E-05,2.93E-06,10785.88,2156,0.007482156
2010-03-23,.N225,1.34E-05,8.88E-06,1.11E-05,8.88E-06,0.00134%,9.04E-06,1.16E-05,90015,150002,-0.001752662,7.82E-06,1.16E-05,7.82E-06,10774.15,1.11E-05,3.67E-06,10793.05,2156,-0.004682661
