VALOR,UNIDAD,VIGENCIADESDE,VIGENCIAHASTA
1000.09,COP,3/12/1996,3/12/1996
994.5,COP,4/1/1996,4/1/1996
1046.92,COP,4/4/1996,8/4/1996
1062.4,COP,4/5/1996,6/5/1996
1074.7,COP,4/6/1996,4/6/1996
1068.12,COP,4/7/1996,4/7/1996
1045.27,COP,4/9/1996,4/9/1996
1015.24,COP,4/10/1996,4/10/1996
995.73,COP,4/12/1996,4/12/1996
998.68,COP,5/1/1996,5/1/1996
1041.28,COP,5/3/1996,5/3/1996
1074.72,COP,5/6/1996,5/6/1996
1068.3,COP,5/7/1996,5/7/1996
1044.09,COP,5/9/1996,5/9/1996
1014.99,COP,5/10/1996,7/10/1996
997.4,COP,5/12/1996,5/12/1996
997.06,COP,6/1/1996,8/1/1996
1022.93,COP,6/2/1996,6/2/1996
1041.83,COP,6/3/1996,6/3/1996
1074.27,COP,6/6/1996,6/6/1996
1067.35,COP,6/7/1996,8/7/1996
1051.61,COP,6/8/1996,6/8/1996
1043.93,COP,6/9/1996,6/9/1996
1006.36,COP,6/11/1996,6/11/1996
997.48,COP,6/12/1996,6/12/1996
1021.3,COP,7/2/1996,7/2/1996
1042.03,COP,7/3/1996,7/3/1996
1063.41,COP,7/5/1996,7/5/1996
1072.95,COP,7/6/1996,7/6/1996
1049.37,COP,7/8/1996,8/8/1996
1045.87,COP,7/9/1996,9/9/1996
1003.75,COP,7/11/1996,7/11/1996
1001.82,COP,7/12/1996,9/12/1996
1022.28,COP,8/2/1996,8/2/1996
1042.61,COP,8/3/1996,8/3/1996
1063.53,COP,8/5/1996,8/5/1996
1073.06,COP,8/6/1996,11/6/1996
1012.56,COP,8/10/1996,8/10/1996
999.59,COP,8/11/1996,8/11/1996
997.06,COP,9/1/1996,9/1/1996
1024.17,COP,9/2/1996,9/2/1996
1042.42,COP,9/3/1996,11/3/1996
1050.12,COP,9/4/1996,9/4/1996
1061.63,COP,9/5/1996,9/5/1996
1068.17,COP,9/7/1996,9/7/1996
1044.9,COP,9/8/1996,9/8/1996
1010.32,COP,9/10/1996,9/10/1996
1001.24,COP,9/11/1996,12/11/1996
1003.44,COP,10/1/1996,10/1/1996
1023.07,COP,10/2/1996,12/2/1996
1047.35,COP,10/4/1996,10/4/1996
1061.1,COP,10/5/1996,10/5/1996
1067.97,COP,10/7/1996,10/7/1996
1040.68,COP,10/8/1996,12/8/1996
1047.95,COP,10/9/1996,10/9/1996
1012.27,COP,10/10/1996,10/10/1996
997.99,COP,10/12/1996,10/12/1996
1003.86,COP,11/1/1996,11/1/1996
1046.55,COP,11/4/1996,11/4/1996
1062.08,COP,11/5/1996,13/05/1996
1065.65,COP,11/7/1996,11/7/1996
1051.64,COP,11/9/1996,11/9/1996
1013.12,COP,11/10/1996,11/10/1996
998.17,COP,11/12/1996,11/12/1996
1002.59,COP,12/1/1996,12/1/1996
1043.5,COP,12/3/1996,12/3/1996
1047.48,COP,12/4/1996,12/4/1996
1073.65,COP,12/6/1996,12/6/1996
1061.79,COP,12/7/1996,12/7/1996
1047.26,COP,12/9/1996,12/9/1996
1015.07,COP,12/10/1996,15/10/1996
998.31,COP,12/12/1996,12/12/1996
1064,COP,1/2/1997,3/2/1997
1077.07,COP,1/3/1997,3/3/1997
1060.93,COP,1/4/1997,1/4/1997
1064.01,COP,1/5/1997,2/5/1997
1112.53,COP,1/8/1997,1/8/1997
1244.63,COP,1/10/1997,1/10/1997
1284.65,COP,1/11/1997,4/11/1997
1061.98,COP,2/4/1997,2/4/1997
1093.25,COP,2/7/1997,2/7/1997
1113.43,COP,2/8/1997,4/8/1997
1174.01,COP,2/9/1997,2/9/1997
1243.27,COP,2/10/1997,2/10/1997
1307.54,COP,2/12/1997,2/12/1997
1007.33,COP,3/1/1997,3/1/1997
1061.95,COP,3/4/1997,3/4/1997
1068.53,COP,3/5/1997,5/5/1997
1098.72,COP,3/7/1997,3/7/1997
1169.38,COP,3/9/1997,3/9/1997
1242.16,COP,3/10/1997,3/10/1997
1307.01,COP,3/12/1997,3/12/1997
1016.81,COP,4/1/1997,7/1/1997
1065.98,COP,4/2/1997,4/2/1997
1075.86,COP,4/3/1997,4/3/1997
1062.46,COP,4/4/1997,4/4/1997
1079.1,COP,4/6/1997,4/6/1997
1102.84,COP,4/7/1997,4/7/1997
1172.82,COP,4/9/1997,4/9/1997
1244.84,COP,4/10/1997,6/10/1997
1299.43,COP,4/12/1997,4/12/1997
1076.25,COP,5/2/1997,5/2/1997
1067.77,COP,5/3/1997,5/3/1997
1062.58,COP,5/4/1997,7/4/1997
1077.19,COP,5/6/1997,5/6/1997
1101.57,COP,5/7/1997,7/7/1997
1112.83,COP,5/8/1997,5/8/1997
1180.94,COP,5/9/1997,5/9/1997
1284.63,COP,5/11/1997,5/11/1997
1298.64,COP,5/12/1997,5/12/1997
1071.88,COP,6/2/1997,6/2/1997
1063.44,COP,6/3/1997,6/3/1997
1076.39,COP,6/5/1997,6/5/1997
1076.49,COP,6/6/1997,6/6/1997
1115.43,COP,6/8/1997,6/8/1997
1186.98,COP,6/9/1997,8/9/1997
1281.18,COP,6/11/1997,6/11/1997
1300.55,COP,6/12/1997,9/12/1997
1070.08,COP,7/2/1997,7/2/1997
1057.58,COP,7/3/1997,7/3/1997
1080.48,COP,7/5/1997,7/5/1997
1076.18,COP,7/6/1997,10/6/1997
1115.2,COP,7/8/1997,8/8/1997
1250.95,COP,7/10/1997,7/10/1997
1286.73,COP,7/11/1997,7/11/1997
1022,COP,8/1/1997,8/1/1997
1066.44,COP,8/2/1997,10/2/1997
1054.05,COP,8/3/1997,10/3/1997
1063.3,COP,8/4/1997,8/4/1997
1075.05,COP,8/5/1997,8/5/1997
1102.45,COP,8/7/1997,8/7/1997
1247.51,COP,8/10/1997,8/10/1997
1291.35,COP,8/11/1997,10/11/1997
1020.16,COP,9/1/1997,9/1/1997
1062.67,COP,9/4/1997,9/4/1997
1073.77,COP,9/5/1997,9/5/1997
1101.18,COP,9/7/1997,9/7/1997
1118.96,COP,9/8/1997,11/8/1997
1204.09,COP,9/9/1997,9/9/1997
1252.74,COP,9/10/1997,9/10/1997
1013.68,COP,10/1/1997,10/1/1997
1062.78,COP,10/4/1997,10/4/1997
1076.93,COP,10/5/1997,13/05/1997
1098.64,COP,10/7/1997,10/7/1997
1238.21,COP,10/9/1997,10/9/1997
1258.04,COP,10/10/1997,10/10/1997
1298.78,COP,10/12/1997,10/12/1997
1011.01,COP,11/1/1997,13/01/1997
1074.25,COP,11/2/1997,11/2/1997
1056.92,COP,11/3/1997,11/3/1997
1060.71,COP,11/4/1997,11/4/1997
1078.64,COP,11/6/1997,11/6/1997
1097.88,COP,11/7/1997,11/7/1997
1250.03,COP,11/9/1997,11/9/1997
1265.38,COP,11/10/1997,14/10/1997
1295.52,COP,11/11/1997,11/11/1997
1301.15,COP,11/12/1997,11/12/1997
1075.17,COP,12/2/1997,12/2/1997
1062.73,COP,12/3/1997,12/3/1997
1058.76,COP,12/4/1997,14/04/1997
1080.61,COP,12/6/1997,12/6/1997
1098.46,COP,12/7/1997,14/07/1997
1119.38,COP,12/8/1997,12/8/1997
1232.12,COP,12/9/1997,12/9/1997
1294.51,COP,12/11/1997,12/11/1997
1304.85,COP,12/12/1997,12/12/1997
1360.26,COP,1/4/1998,1/4/1998
1364.07,COP,1/5/1998,4/5/1998
1369.88,COP,1/7/1998,1/7/1998
1372.14,COP,1/8/1998,3/8/1998
1441.86,COP,1/9/1998,1/9/1998
1556.52,COP,1/10/1998,1/10/1998
1545.88,COP,1/12/1998,1/12/1998
1362.54,COP,2/4/1998,2/4/1998
1398.53,COP,2/6/1998,2/6/1998
1358.05,COP,2/7/1998,2/7/1998
1442.95,COP,2/9/1998,2/9/1998
1573.22,COP,2/10/1998,2/10/1998
1545.82,COP,2/12/1998,2/12/1998
1304.33,COP,3/1/1998,5/1/1998
1343.9,COP,3/2/1998,3/2/1998
1349.04,COP,3/3/1998,3/3/1998
1357.75,COP,3/4/1998,3/4/1998
1399.56,COP,3/6/1998,3/6/1998
1345.65,COP,3/7/1998,3/7/1998
1518.56,COP,3/9/1998,3/9/1998
1578.96,COP,3/10/1998,5/10/1998
1539.32,COP,3/12/1998,3/12/1998
1345.01,COP,4/2/1998,4/2/1998
1352.21,COP,4/3/1998,4/3/1998
1357.71,COP,4/4/1998,6/4/1998
1399.02,COP,4/6/1998,4/6/1998
1348.06,COP,4/7/1998,6/7/1998
1371.16,COP,4/8/1998,4/8/1998
1532.19,COP,4/9/1998,4/9/1998
1569.93,COP,4/11/1998,4/11/1998
1545.89,COP,4/12/1998,4/12/1998
1345.46,COP,5/2/1998,5/2/1998
1349.8,COP,5/3/1998,5/3/1998
1369.31,COP,5/5/1998,5/5/1998
1397.63,COP,5/6/1998,5/6/1998
1368.24,COP,5/8/1998,5/8/1998
1538.84,COP,5/9/1998,7/9/1998
1568.54,COP,5/11/1998,5/11/1998
1552.48,COP,5/12/1998,7/12/1998
1317.15,COP,6/1/1998,6/1/1998
1346.09,COP,6/2/1998,6/2/1998
1353.19,COP,6/3/1998,6/3/1998
1375.39,COP,6/5/1998,6/5/1998
1387.12,COP,6/6/1998,8/6/1998
1366.44,COP,6/8/1998,6/8/1998
1585.64,COP,6/10/1998,6/10/1998
1563.32,COP,6/11/1998,6/11/1998
1318.57,COP,7/1/1998,7/1/1998
1346.42,COP,7/2/1998,9/2/1998
1353.71,COP,7/3/1998,9/3/1998
1355.5,COP,7/4/1998,7/4/1998
1382.27,COP,7/5/1998,7/5/1998
1357.78,COP,7/7/1998,7/7/1998
1364.9,COP,7/8/1998,10/8/1998
1588.64,COP,7/10/1998,7/10/1998
1553.71,COP,7/11/1998,9/11/1998
1315.95,COP,8/1/1998,8/1/1998
1354.15,COP,8/4/1998,8/4/1998
1383.04,COP,8/5/1998,8/5/1998
1368.16,COP,8/7/1998,8/7/1998
1511.55,COP,8/9/1998,8/9/1998
1586.53,COP,8/10/1998,8/10/1998
1548.63,COP,8/12/1998,9/12/1998
