DATE,Symbol,close_price,Retornos,Retornos_2,Weights,EWMA,
13/11/2014,.OMXHPI,7620.12,0.008249024,0,0,0,
14/11/2014,.OMXHPI,7577.07,-0.005665536,0,0,0,
17/11/2014,.OMXHPI,7559.91,-0.002267296,0,0,0,
18/11/2014,.OMXHPI,7649.53,0.011784923,0,0,0,
19/11/2014,.OMXHPI,7621.24,-0.003705122,0,0,0,
20/11/2014,.OMXHPI,7632.3,0.001450155,0,0,0,
21/11/2014,.OMXHPI,7802.72,0.022083149,0,0,0,
24/11/2014,.OMXHPI,7899.92,0.012380242,0,0,0,
25/11/2014,.OMXHPI,7927.21,0.003448512,0,0,0,
26/11/2014,.OMXHPI,7939.06,0.001493735,0,0,0,
27/11/2014,.OMXHPI,7968.89,0.00375033,0,0,0,
28/11/2014,.OMXHPI,7914.17,-0.006890387,0,0,0,
1/12/2014,.OMXHPI,7888.65,-0.003229806,0,0,0,
2/12/2014,.OMXHPI,7910.79,0.002802633,0,0,0,
3/12/2014,.OMXHPI,7922.94,0.001534699,0,0,0,
4/12/2014,.OMXHPI,7897.25,-0.003247751,0,0,0,
5/12/2014,.OMXHPI,7994.7,0.012264225,0,0,0,
8/12/2014,.OMXHPI,7978.3,-0.002053466,0,0,0,
9/12/2014,.OMXHPI,7827.73,-0.019052799,0,0,0,
10/12/2014,.OMXHPI,7815.28,-0.001591766,0,0,0,
11/12/2014,.OMXHPI,7801.32,-0.001787842,0,0,0,
12/12/2014,.OMXHPI,7634.21,-0.021653488,0,0,0,
15/12/2014,.OMXHPI,7471.21,-0.021582495,0,0,0,
16/12/2014,.OMXHPI,7523.6,0.00698778,0,0,0,
17/12/2014,.OMXHPI,7542.3,0.002482428,0,0,0,
18/12/2014,.OMXHPI,7732.17,0.024862372,0,0,0,
19/12/2014,.OMXHPI,7726.81,-0.000693448,0,0,0,
22/12/2014,.OMXHPI,7761.81,0.004519455,0,0,0,
23/12/2014,.OMXHPI,7850.9,0.01141262,0,0,0,
29/12/2014,.OMXHPI,7840.45,-0.001331944,0,0,0,
30/12/2014,.OMXHPI,7758.51,-0.010505925,0,0,0,
2/1/2015,.OMXHPI,7816.87,0.007493913,0,0,0,
5/1/2015,.OMXHPI,7684.65,-0.017059386,0,0,0,
7/1/2015,.OMXHPI,7631.44,-0.006948276,0,0,0,
8/1/2015,.OMXHPI,7768.05,0.017742611,0,0,0,
9/1/2015,.OMXHPI,7725.02,-0.005554756,0,0,0,
12/1/2015,.OMXHPI,7738.56,0.001751212,0,0,0,
13/01/2015,.OMXHPI,7804.17,0.008442582,0,0,0,
